epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72167,1.69709,17.6973,1.53364,0.03636,0.49717,0.0545,0.02689,1.03672,16.8671,1.27456,6.668e-05,6.668e-05,6.668e-05
2,4.6463,1.6776,15.9739,1.50625,0.59579,0.61425,0.64547,0.41644,0.93278,5.13389,1.08372,0.000148545,0.000148545,0.000148545
3,5.64095,1.25426,5.08875,1.2374,0.8263,0.78642,0.83718,0.49956,0.9006,5.31993,1.07373,0.000228759,0.000228759,0.000228759
4,6.5866,1.12792,3.25958,1.15664,0.49665,0.7901,0.62401,0.38335,0.87234,11.2834,1.0594,0.000307323,0.000307323,0.000307323
5,7.4237,1.0084,2.80314,1.1023,0.68047,0.6415,0.70096,0.48321,0.91328,5.87325,1.05895,0.000384237,0.000384237,0.000384237
6,8.29867,0.97579,2.54849,1.06946,0.80136,0.87273,0.8947,0.56684,0.99556,6.88723,1.07362,0.0004595,0.0004595,0.0004595
7,9.33149,0.98582,2.67018,1.07404,0.24436,0.53825,0.3071,0.21588,0.88704,17.3904,1.05812,0.000533113,0.000533113,0.000533113
8,10.2604,0.91949,2.40557,1.02911,0.20548,0.70927,0.21013,0.15118,0.89483,19.1493,1.06097,0.000605076,0.000605076,0.000605076
9,11.143,0.92896,2.4957,1.04667,0.24054,0.50679,0.23784,0.16006,1.14772,17.2763,1.16719,0.000675388,0.000675388,0.000675388
10,11.992,0.93506,2.33777,1.01902,0.44485,0.76719,0.45307,0.30015,0.87704,7.99442,1.04399,0.00074405,0.00074405,0.00074405
11,12.8139,0.86318,2.27313,1.01535,0.5594,0.92238,0.61842,0.44581,0.79677,6.81088,1.0246,0.000811062,0.000811062,0.000811062
12,13.6936,0.85029,2.18313,1.00735,0.63274,0.79456,0.69158,0.46227,0.86186,11.4298,1.03654,0.000876424,0.000876424,0.000876424
13,14.5609,0.8296,2.05476,0.99388,0.61632,0.77636,0.68212,0.39607,0.89657,15.8491,1.05878,0.000940135,0.000940135,0.000940135
14,15.393,0.83518,2.06384,0.99854,0.49514,0.78374,0.57923,0.27906,1.00252,17.859,1.10814,0.0010022,0.0010022,0.0010022
15,16.2161,0.84327,2.02889,0.98516,0.43415,0.83862,0.49066,0.28446,1.04428,6.24042,1.134,0.00106261,0.00106261,0.00106261
16,17.0194,0.82874,1.98677,0.98565,0.59913,0.7764,0.67287,0.37912,1.11428,4.5987,1.15667,0.00112137,0.00112137,0.00112137
17,17.8229,0.84911,1.95812,0.99032,0.88869,0.85913,0.89545,0.60381,0.85855,2.57153,1.02526,0.00117848,0.00117848,0.00117848
18,18.7686,0.85557,2.07767,1.00437,0.96023,0.94588,0.96445,0.70361,0.82873,2.30788,1.01549,0.00123394,0.00123394,0.00123394
19,19.6724,0.83553,2.0302,0.98854,0.94627,0.93958,0.96826,0.70634,0.85443,2.34604,1.02347,0.00128774,0.00128774,0.00128774
20,20.6236,0.82462,2.05747,0.98896,0.91383,0.94126,0.96289,0.68834,0.81541,2.29079,1.00709,0.0013399,0.0013399,0.0013399
21,21.4193,0.8467,2.04658,0.97773,0.98305,0.93164,0.97118,0.76255,0.77364,2.13148,0.99915,0.00133693,0.00133693,0.00133693
